App,Category,Rating,Reviews,Size,Installs,Paid/Free,Price,Content Rating,Ad Supported,In App Purchases,Editors Choice
Infinite Painter,Others,4.1,36815.0,29.0,1000000.0,Free,0.0,Everyone,No,Yes,No
Timehop,Others,4.1,161610.0,16.0,5000000.0,Free,0.0,Teen,Yes,No,No
Bubble Shooter DX,FAMILY,4.2,636.0,40.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
Find a Way: Addictive Puzzle,FAMILY,4.8,39480.0,14.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
Virtual Assistant DataBot: Artificial Intelligence,FAMILY,4.4,80927.0,27.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
/u/app,COMMUNICATION,4.7,573.0,53.0,10000.0,Free,0.0,Mature 17+,No,No,No
Santa Fe New Mexican e-Edition,Others,4.1,25.0,17.0,1000.0,Free,0.0,Everyone,No,No,No
Hidden City: Hidden Object Adventure,Others,4.4,312204.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
빛의 그림자,Others,3.9,1787.0,270.0,50000.0,Free,0.0,Teen,No,No,Yes
The Walking Dead: Our World,GAME,4.0,22435.0,100.0,1000000.0,Free,0.0,Teen,No,Yes,No
Hitman Sniper,GAME,4.6,312204.0,29.0,10000000.0,Paid,0.99,Mature 17+,Yes,Yes,Yes
"Underworld Office: Visual Novel, Adventure Game",Others,4.7,105798.0,270.0,1000000.0,Free,0.0,Teen,Yes,Yes,Yes
Harmony: Relaxing Music Puzzles,Others,4.6,52829.0,270.0,1000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Rainbow - Journal & Activities,Others,4.8,6668.0,20.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
AE Checkout Plugin,Others,3.8,208.0,0.078,10000.0,Free,0.0,Everyone,No,Yes,No
Strawberry Shortcake Ice Cream Island,FAMILY,4.2,32029.0,15.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
BLEACH Brave Souls - 3D Action,Others,4.2,291858.0,270.0,10000000.0,Free,0.0,Teen,Yes,Yes,Yes
오늘의집 - No.1 인테리어 필수앱,Others,4.7,90364.0,270.0,5000000.0,Free,0.0,Teen,No,No,Yes
101 C Programming Problems,FAMILY,4.6,498.0,50.0,50000.0,Free,0.0,Everyone,Yes,No,No
A & B Taxi,Others,4.1,41.0,25.0,1000.0,Free,0.0,Everyone,No,No,No
Flashlight - Torch LED Light,TOOLS,4.4,192661.0,85.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
NDTV India Hindi News,Others,4.5,49741.0,270.0,5000000.0,Free,0.0,Everyone,Yes,No,Yes
Tropical Beach Live Wallpaper,PERSONALIZATION,4.0,11343.0,84.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Sounds for Toddlers FREE,FAMILY,,6190.0,23.0,1000000.0,Free,0.0,Everyone,Yes,No,No
ClearCareGo Caregiver,MEDICAL,4.2,1746.0,16.0,50000.0,Free,0.0,Everyone,No,No,No
FK Crvena Zvezda Izzy,TOOLS,4.8,1456.0,15.0,50000.0,Free,0.0,Everyone,No,No,No
PORTABLE SOCCER DX,SPORTS,4.4,552.0,16.0,5000.0,Paid,1.0,Everyone,No,No,No
Geometry Dash Lite,GAME,4.5,312204.0,58.0,19970000.0,Free,0.0,Everyone,Yes,No,No
imo beta free calls and text,COMMUNICATION,4.3,312204.0,11.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Golden Launcher,PERSONALIZATION,4.4,32794.0,12.0,5000000.0,Free,0.0,Everyone,Yes,No,No
The Seven Deadly Sins: Grand Cross,Others,4.3,312204.0,270.0,10000000.0,Free,0.0,Teen,Yes,Yes,Yes
All Language Translator Free,BOOKS_AND_REFERENCE,4.4,30105.0,21.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Iron Marines: RTS Offline Real Time Strategy Game,Others,4.7,58260.0,270.0,500000.0,Paid,2.99,Everyone 10+,No,Yes,Yes
AI Benchmark,TOOLS,4.0,97.0,99.0,5000.0,Free,0.0,Everyone,No,No,No
HealtheLife,MEDICAL,3.6,190.0,77.0,100000.0,Free,0.0,Everyone,No,No,No
Advanced Task Killer,PRODUCTIVITY,4.4,312204.0,15.0,19970000.0,Free,0.0,Everyone,No,No,No
Dungeon Quest,FAMILY,4.5,244039.0,46.0,5000000.0,Free,0.0,Everyone 10+,Yes,Yes,No
Couchsurfing Travel App,Others,3.2,99994.0,270.0,5000000.0,Free,0.0,Teen,Yes,No,Yes
Comedy Central,Others,3.9,22378.0,19.0,1000000.0,Free,0.0,Teen,Yes,No,No
senior easy phone,PERSONALIZATION,3.9,168.0,21.0,50000.0,Free,0.0,Teen,Yes,No,No
Crazy Wheels,GAME,4.0,121082.0,70.0,10000000.0,Free,0.0,Teen,Yes,No,No
YesMoney Wallet,FINANCE,4.4,199684.0,18.0,5000000.0,Free,0.0,Everyone,No,No,No
Talking Tom & Ben News,FAMILY,4.4,312204.0,41.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Kobo Books - eBooks & Audiobooks,BOOKS_AND_REFERENCE,4.3,270245.0,270.0,10000000.0,Free,0.0,Teen,No,No,Yes
Black People Meet Singles Date,Others,3.9,10212.0,50.0,1000000.0,Free,0.0,Mature 17+,Yes,No,No
Vector,GAME,4.4,312204.0,89.0,19970000.0,Free,0.0,Everyone 10+,No,No,No
Elkhart County 4-H Fair,FAMILY,3.9,38.0,42.0,5000.0,Free,0.0,Everyone,Yes,No,No
Mosaic puzzles,FAMILY,4.4,1595.0,14.0,500000.0,Free,0.0,Everyone,Yes,No,No
BI Mobile,FINANCE,4.4,337.0,33.0,10000.0,Free,0.0,Everyone,No,No,No
MARCA - Diario Líder Deportivo,SPORTS,3.9,76340.0,14.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
Walk Freely (Ec Shlire),TOOLS,4.7,62.0,23.0,1000.0,Free,0.0,Everyone,No,No,No
DF Coaching,SPORTS,4.0,1.0,36.0,100.0,Free,0.0,Everyone,No,No,No
일곱 개의 대죄: GRAND CROSS,Others,4.1,85170.0,270.0,1000000.0,Free,0.0,Teen,Yes,Yes,Yes
Q-See QT View,TOOLS,3.6,7357.0,19.0,100000.0,Free,0.0,Everyone,No,No,No
World War Heroes: WW2 FPS,Others,4.5,312204.0,270.0,19970000.0,Free,0.0,Teen,Yes,Yes,Yes
Hungry Hearts Diner: A Tale of Star-Crossed Souls,FAMILY,4.9,46253.0,56.0,500000.0,Free,0.0,Everyone 10+,Yes,Yes,No
Car Crash III Beam DH Real Damage Simulator 2018,GAME,3.6,151.0,100.0,10000.0,Free,0.0,Everyone,Yes,No,No
Eternium,FAMILY,4.8,,89.0,10000000.0,Free,0.0,Teen,No,Yes,Yes
Turbo Download Manager (and Browser),TOOLS,4.0,32879.0,32.0,5000000.0,Free,0.0,Everyone,Yes,No,No
Auto Background Changer,PHOTOGRAPHY,4.0,35188.0,62.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Crazy Freekick,SPORTS,3.9,47688.0,17.0,5000000.0,Free,0.0,Everyone,Yes,No,No
"Mobizen Screen Recorder for LG - Record, Capture",Others,4.5,58820.0,37.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Dr. Rocket,GAME,4.0,42182.0,34.0,1000000.0,Free,0.0,Everyone,Yes,No,No
1. FC Köln App,SPORTS,4.6,2019.0,41.0,100000.0,Free,0.0,Everyone,Yes,No,No
Sir C J New Primary School,FAMILY,5.0,3.0,92.0,100.0,Free,0.0,Everyone,No,No,No
U.S.A DV Lottery Process,FAMILY,4.5,8.0,17.0,1000.0,Free,0.0,Everyone,No,No,No
Amber Weather,Others,4.4,260137.0,13.0,10000000.0,Free,0.0,Everyone 10+,Yes,Yes,No
"iPair-Meet, Chat, Dating",Others,4.5,182986.0,77.0,5000000.0,Free,0.0,Mature 17+,Yes,Yes,No
Scratch Logo Quiz. Challenging brain puzzle,GAME,3.3,152102.0,18.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
Candy Crush Soda Saga,GAME,4.4,312204.0,67.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Samsung SMART CAMERA App,PHOTOGRAPHY,4.0,34753.0,22.0,1000000.0,Free,0.0,Everyone,No,No,No
Pixel Gun 3D: FPS Shooter & Battle Royale,Others,4.1,312204.0,270.0,19970000.0,Free,0.0,Teen,Yes,Yes,Yes
OWLIE BOO,FAMILY,,834.0,22.0,100000.0,Free,0.0,Everyone,Yes,No,No
Fists For Fighting (Fx3),SPORTS,3.9,138739.0,44.0,10000000.0,Free,0.0,Teen,Yes,No,No
Portable Wi-Fi hotspot Premium,COMMUNICATION,3.7,481.0,0.42,10000.0,Paid,0.99,Everyone,No,No,No
Agent HQ for The Division,FAMILY,4.1,1060.0,25.0,100000.0,Free,0.0,Everyone,Yes,Yes,No
White Noise Baby,LIFESTYLE,4.5,10544.0,44.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
"sugar, sugar",FAMILY,4.2,1405.0,95.0,10000.0,Paid,1.2,Everyone,No,No,No
CL Strength,HEALTH_AND_FITNESS,5.0,3.0,40.0,50.0,Free,0.0,Everyone,No,No,No
G-NetWiFi Pro,TOOLS,3.3,6.0,15.0,100.0,Paid,5.99,Everyone,No,No,No
Hi-Smart AC,TOOLS,2.2,32.0,94.0,1000.0,Free,0.0,Everyone,No,No,No
CHRONO TRIGGER (Upgrade Ver.),FAMILY,3.8,11250.0,63.0,100000.0,Paid,9.99,Everyone 10+,No,No,No
SportsManias Fantasy Team News,SPORTS,3.5,4057.0,26.0,500000.0,Free,0.0,Everyone,Yes,No,No
Transfer,FINANCE,4.1,31804.0,98.0,5000000.0,Free,0.0,Everyone,Yes,Yes,No
"Ruler(cm, inch)",TOOLS,3.4,2889.0,25.0,500000.0,Free,0.0,Everyone,Yes,No,No
Baseball Superstars 2021,SPORTS,4.3,,270.0,1000000.0,Free,0.0,Everyone 10+,Yes,Yes,Yes
Qatar Airways,Others,4.3,11182.0,62.0,1000000.0,Free,0.0,Everyone,No,No,No
Advanced EX for HYUNDAI,TOOLS,2.7,168.0,0.17,5000.0,Paid,4.99,Everyone,No,No,No
"Study Aide : Concentration,Rain,Calm,Piano Music",Others,4.4,3938.0,270.0,100000.0,Free,0.0,Everyone,Yes,Yes,Yes
S’more - Earn Cash Rewards,PRODUCTIVITY,4.1,15097.0,14.0,1000000.0,Free,0.0,Everyone,Yes,No,No
BG Monitor Diabetes,MEDICAL,4.4,643.0,28.0,10000.0,Free,0.0,Everyone,No,Yes,No
R+F PULSE,BUSINESS,3.4,58.0,30.0,10000.0,Free,0.0,Everyone,No,No,No
Bowling Crew — 3D bowling game,SPORTS,4.5,239005.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
NASCAR MOBILE,SPORTS,4.2,80900.0,21.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
DH-UFO,FAMILY,5.0,1.0,59.0,100.0,Free,0.0,Everyone,No,No,No
Education First FCU Mobile,FINANCE,2.9,204.0,29.0,10000.0,Free,0.0,Everyone,No,No,No
DW Audio,FAMILY,4.9,38.0,50.0,1000.0,Free,0.0,Everyone,No,No,No
GLAM - Live video chat,Others,4.4,46664.0,270.0,1000000.0,Free,0.0,Mature 17+,Yes,Yes,Yes
Heart's Medicine Hospital Heat,Others,4.3,,270.0,5000000.0,Free,0.0,Everyone 10+,Yes,Yes,Yes
Thomas & Friends: Go Go Thomas,FAMILY,4.1,175625.0,16.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
loans.com.au Smart Money,FINANCE,3.5,30.0,17.0,1000.0,Free,0.0,Everyone,No,No,No
BU Library,FAMILY,3.5,4.0,21.0,1000.0,Free,0.0,Everyone,No,No,No
Meetup,Others,4.2,79129.0,23.0,5000000.0,Free,0.0,Teen,No,No,No
BI SmartLINK,BUSINESS,3.6,16.0,33.0,5000.0,Free,0.0,Everyone,No,No,No
bp Magazine for Bipolar,LIFESTYLE,1.8,5.0,18.0,1000.0,Free,0.0,Everyone 10+,Yes,Yes,No
DX Alert,TOOLS,4.1,27.0,25.0,1000.0,Free,0.0,Everyone,Yes,No,No
X-Wing Squadron Builder,FAMILY,4.6,5898.0,50.0,100000.0,Free,0.0,Everyone,No,No,No
Seen,FAMILY,4.5,118285.0,22.0,1000000.0,Free,0.0,Teen,Yes,Yes,No
ADWLauncher 1 EX,PERSONALIZATION,4.3,28728.0,28.0,500000.0,Paid,2.49,Everyone,No,No,No
Yoga - Track Yoga,HEALTH_AND_FITNESS,4.5,7976.0,44.0,500000.0,Free,0.0,Everyone,No,Yes,No
Masterchef Cooking Games: Fun Restaurant & Kitchen,FAMILY,3.9,1036.0,33.0,100000.0,Free,0.0,Everyone,Yes,No,No
Color By Numbers - Art Game for Kids and Adults,FAMILY,3.1,305.0,83.0,100000.0,Free,0.0,Everyone,Yes,No,No
FD VR - Virtual Reality Camera,FAMILY,4.0,1007.0,74.0,100000.0,Free,0.0,Everyone,No,No,No
Life is Strange,Others,4.3,79918.0,270.0,1000000.0,Free,0.0,Mature 17+,No,Yes,Yes
EO Network,BUSINESS,3.5,13.0,21.0,1000.0,Free,0.0,Teen,No,No,No
Beauty Makeup – Photo Makeover,PHOTOGRAPHY,4.3,,19.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Deck Heroes: Legacy,GAME,4.7,312204.0,52.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
Block Strike,GAME,,312204.0,60.0,10000000.0,Free,0.0,Teen,Yes,Yes,No
Cinemark Theatres,Others,4.1,21867.0,39.0,1000000.0,Free,0.0,Teen,No,No,No
Al Quran Indonesia,BOOKS_AND_REFERENCE,,312204.0,16.0,10000000.0,Free,0.0,Everyone,Yes,No,No
First Credit Union (AZ) Mobile,FINANCE,3.5,100.0,11.0,10000.0,Free,0.0,Everyone,Yes,No,No
AppLock - Fingerprint,TOOLS,4.4,312204.0,35.0,10000000.0,Free,0.0,Everyone,Yes,No,No
DK Pittsburgh Sports,SPORTS,4.1,556.0,33.0,10000.0,Free,0.0,Everyone,Yes,No,No
The Guardian,Others,4.7,247992.0,22.0,5000000.0,Free,0.0,Teen,No,No,No
The Game of Life,GAME,4.4,18621.0,63.0,100000.0,Paid,2.99,Everyone,No,Yes,No
豬來了-全球最in社交遊戲,Others,4.0,235768.0,270.0,1000000.0,Free,0.0,Everyone,No,Yes,Yes
Burrito Bash – We Bare Bears,FAMILY,4.3,10776.0,21.0,1000000.0,Free,0.0,Everyone,Yes,No,No
Extreme Car Driving Simulator,GAME,4.3,312204.0,52.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
SDA Sabbath School Quarterly,BOOKS_AND_REFERENCE,4.7,14773.0,64.0,500000.0,Free,0.0,Everyone,Yes,No,No
ZERO Lock Screen,TOOLS,3.5,75336.0,0.544,1000000.0,Free,0.0,Everyone,Yes,No,No
"Flipboard - Latest News, Top Stories & Lifestyle",Others,4.1,312204.0,270.0,19970000.0,Free,0.0,Everyone 10+,Yes,No,Yes
DT Fieldlink,BUSINESS,3.0,2.0,49.0,500.0,Free,0.0,Everyone,No,No,No
C Programming Zone,FAMILY,4.6,1218.0,40.0,50000.0,Free,0.0,Everyone,Yes,No,No
Angry Birds Classic,GAME,4.4,312204.0,97.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Candy Crush Saga,GAME,4.4,312204.0,74.0,19970000.0,Free,0.0,Everyone,Yes,Yes,No
Chemin (fr),BOOKS_AND_REFERENCE,4.8,44.0,0.619,1000.0,Free,0.0,Everyone,No,No,No
Skylink Live TV CZ,FAMILY,3.3,2802.0,15.0,100000.0,Free,0.0,Teen,No,No,No
"Meet24 - Love, Chat, Singles",Others,4.2,57081.0,79.0,1000000.0,Free,0.0,Mature 17+,Yes,Yes,No
Channel U,FAMILY,4.6,34.0,14.0,1000.0,Free,0.0,Everyone,No,No,No
Sword Art Online: Integral Factor,FAMILY,4.0,45359.0,32.0,1000000.0,Free,0.0,Everyone 10+,No,Yes,No
GoAction,Others,3.6,1522.0,65.0,100000.0,Free,0.0,Everyone,No,No,No
FaFaFa™ Gold Casino: Free slot machines,GAME,4.3,11051.0,44.0,1000000.0,Free,0.0,Teen,Yes,Yes,No
Pixxy KWGT,PERSONALIZATION,4.8,60.0,78.0,1000.0,Paid,0.99,Everyone,No,No,No
KBA-EZ Health Guide,MEDICAL,,4.0,25.0,1.0,Free,0.0,Everyone,No,No,No
Real Football,SPORTS,4.1,312204.0,33.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
S Launcher for Galaxy TouchWiz,PERSONALIZATION,4.2,,22.0,1000000.0,Free,0.0,Everyone,No,No,No
"Egg, Inc.",FAMILY,4.7,312204.0,29.0,5000000.0,Free,0.0,Everyone,Yes,Yes,Yes
Baldur's Gate II,FAMILY,4.3,5442.0,16.0,50000.0,Paid,9.99,Teen,No,Yes,No
Urban Outfitters,Others,4.2,4158.0,23.0,500000.0,Free,0.0,Teen,No,No,No
Allsetra B.V.,BUSINESS,4.1,15.0,24.0,1000.0,Free,0.0,Everyone,No,No,No
Marked by King Bs,FAMILY,4.6,70335.0,58.0,500000.0,Free,0.0,Teen,Yes,Yes,No
AZ Practice Test & Questions,FAMILY,4.4,13.0,34.0,1000.0,Free,0.0,Everyone,Yes,No,No
MyQuest for Patients,MEDICAL,4.0,3803.0,16.0,100000.0,Free,0.0,Everyone,No,No,No
Learn English for beginners,Others,4.5,1929.0,25.0,500000.0,Free,0.0,Everyone,Yes,No,No
카카오뱅크,FINANCE,3.1,42399.0,270.0,10000000.0,Free,0.0,Everyone,No,No,Yes
Carnivores: Dinosaur Hunter,GAME,4.2,62636.0,17.0,1000000.0,Free,0.0,Teen,Yes,Yes,No
Badland Brawl,Others,4.3,141448.0,270.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
P Theme for Android™ P 9.0 Style Launcher,PERSONALIZATION,4.5,216.0,57.0,50000.0,Free,0.0,Everyone,Yes,Yes,No
Swahili Radio,Others,4.5,171.0,48.0,10000.0,Free,0.0,Everyone,Yes,No,No
VCalendar - VenkatRama and Co,LIFESTYLE,4.3,87.0,39.0,10000.0,Free,0.0,Everyone,Yes,No,No
SYFY,FAMILY,3.2,3069.0,18.0,500000.0,Free,0.0,Teen,Yes,No,No
Modcloth – Unique Indie Women's Fashion & Style,Others,4.2,,88.0,500000.0,Free,0.0,Everyone,No,No,No
Cheating Tom 3 - Genius School,GAME,4.3,90415.0,84.0,10000000.0,Free,0.0,Everyone,Yes,Yes,No
Fruit Ninja®,GAME,4.3,312204.0,41.0,19970000.0,Free,0.0,Everyone,Yes,Yes,Yes
Antenna Tool,TOOLS,4.2,522.0,29.0,50000.0,Free,0.0,Everyone,Yes,No,No
Toy Pop Cubes,FAMILY,4.5,5761.0,21.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Instachat 😜,Others,4.0,80987.0,25.0,5000000.0,Free,0.0,Teen,No,No,No
Explore Sedona & Northern AZ,Others,3.8,43.0,22.0,10000.0,Free,0.0,Everyone,Yes,No,No
DS App Manager,TOOLS,4.6,14.0,21.0,1000.0,Free,0.0,Everyone,Yes,No,No
Dumb Ways to Die 2: The Games,Others,4.4,312204.0,270.0,19970000.0,Free,0.0,Teen,Yes,Yes,Yes
Groovebook Photo Books & Gifts,PHOTOGRAPHY,,21159.0,36.0,500000.0,Free,0.0,Everyone,No,No,No
Expert C Programming - Learn C Coding Easily,FAMILY,4.4,77.0,69.0,5000.0,Free,0.0,Everyone,Yes,Yes,No
Tools & Mi Band,HEALTH_AND_FITNESS,4.4,15753.0,13.0,100000.0,Paid,3.49,Everyone,No,No,No
SEEK Job Search,BUSINESS,4.3,22097.0,270.0,1000000.0,Free,0.0,Everyone,No,No,Yes
Six Pack in 30 Days - Abs Workout,HEALTH_AND_FITNESS,4.9,272337.0,13.0,10000000.0,Free,0.0,Everyone,Yes,Yes,Yes
KingGodCastle,Others,3.9,,270.0,500000.0,Free,0.0,Everyone,Yes,Yes,Yes
BA Calculator,PRODUCTIVITY,4.1,22.0,24.0,5000.0,Free,0.0,Everyone,Yes,No,No
Your Freedom VPN Client,COMMUNICATION,4.0,74497.0,53.0,5000000.0,Free,0.0,Everyone,No,Yes,No
BL info,Others,4.1,98.0,20.0,5000.0,Free,0.0,Everyone,No,No,No
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,312204.0,57.0,19970000.0,Free,0.0,Everyone,Yes,Yes,Yes
BT Church,LIFESTYLE,4.9,26.0,84.0,1000.0,Free,0.0,Teen,No,No,No
"TuneIn Radio: News, Sports & Online Music Stations",Others,4.5,312204.0,270.0,19970000.0,Free,0.0,Teen,Yes,Yes,Yes
El Nuevo Día,Others,4.1,8011.0,13.0,500000.0,Free,0.0,Everyone 10+,Yes,Yes,No
Don't Starve: Pocket Edition,GAME,4.4,17988.0,79.0,100000.0,Paid,4.99,Teen,No,No,Yes
Out There Chronicles - Ep. 2,FAMILY,4.5,,70.0,1000.0,Paid,2.99,Teen,No,No,No
InfantRisk Center HCP,MEDICAL,2.6,41.0,14.0,1000.0,Paid,9.99,Everyone,No,No,No
I Am Rich,FAMILY,3.6,217.0,49.0,10000.0,Paid,389.99,Everyone,Yes,No,No
Blood pressure,HEALTH_AND_FITNESS,3.4,2256.0,16.0,500000.0,Free,0.0,Everyone,Yes,No,No
Hairstyles step by step,Others,4.6,4369.0,14.0,100000.0,Free,0.0,Everyone,No,No,No
Podcast Player & Podcast App - Castbox,Others,4.7,245934.0,270.0,10000000.0,Free,0.0,Everyone 10+,Yes,Yes,Yes
Blood Pressure Log - MyDiary,MEDICAL,4.7,8348.0,26.0,500000.0,Free,0.0,Everyone,Yes,Yes,No
チェインクロニクル チェインシナリオ王道バトルRPG,Others,4.2,205359.0,270.0,1000000.0,Free,0.0,Teen,Yes,No,Yes
Ohio State Fair 4-H,FAMILY,3.0,4.0,19.0,1000.0,Free,0.0,Everyone,No,No,No
Assassin's Creed Rebellion: Adventure RPG,Others,4.3,312204.0,270.0,5000000.0,Free,0.0,Teen,No,Yes,Yes
Save.ca,Others,3.7,2094.0,34.0,100000.0,Free,0.0,Everyone,No,No,No
GO Launcher EX UI5.0 theme,PERSONALIZATION,4.3,111634.0,13.0,5000000.0,Free,0.0,Everyone,Yes,No,No
Courier Journal,Others,3.5,254.0,38.0,10000.0,Free,0.0,Everyone 10+,Yes,Yes,No
J Touch,TOOLS,4.6,2176.0,0.953,100000.0,Free,0.0,Everyone,No,No,No
Wayfair - Shop All Things Home,Others,4.5,20247.0,47.0,5000000.0,Free,0.0,Everyone,No,No,No
Masha and The Bear Puzzle Game,FAMILY,4.3,13330.0,73.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
Elevate - Brain Training Games,Others,4.6,312204.0,270.0,10000000.0,Free,0.0,Everyone,No,Yes,Yes
Heads Off,Others,4.3,22164.0,270.0,1000000.0,Free,0.0,Teen,Yes,No,Yes
metroZONE,LIFESTYLE,4.1,47497.0,34.0,10000000.0,Free,0.0,Everyone,Yes,No,No
Draw N Guess Multiplayer,GAME,3.9,29505.0,69.0,1000000.0,Free,0.0,Everyone,Yes,Yes,No
ECナビ×シュフー,LIFESTYLE,4.0,576.0,74.0,50000.0,Free,0.0,Everyone,Yes,No,No
Keypad Lock Screen,TOOLS,4.2,312204.0,47.0,10000000.0,Free,0.0,Everyone,Yes,No,No
백자 하루 - 원고지 일기장,LIFESTYLE,4.7,11648.0,270.0,100000.0,Free,0.0,Everyone,Yes,Yes,Yes
Family Dollar,Others,4.3,2588.0,21.0,1000000.0,Free,0.0,Everyone,No,No,No
B.T.,Others,2.8,636.0,14.0,100000.0,Free,0.0,Everyone,Yes,No,No
